Alignment ID|Average Mz|Metabolite name|WT-YNB_rep1|WT-YNB_rep2|WT-YNB_rep3|WT-YNB_rep4|S51A-YNB_rep1|S51A-YNB_rep2|S51A-YNB_rep3|S51A-YNB_rep4|WT-Tyr_rep1|WT-Tyr_rep2|WT-Tyr_rep3|WT-Tyr_rep4|S51A-Tyr_rep1|S51A-Tyr_rep2|S51A-Tyr_rep3|S51A-Tyr_rep4|WT-total_rep1|WT-total_rep2|WT-total_rep3|WT-vac_rep1|WT-vac_rep2|WT-vac_rep3|avt1-total_rep1|avt1-total_rep2|avt1-total_rep3|avt1-vac_rep1|avt1-vac_rep2|avt1-vac_rep3|aa-standard_rep1|aa-standard_rep2|aa-standard_rep3
0|0|1-Methylnicotinamide|65083.30978|55108.98747|64187.28862|58656.36305|70239.74564|60724.87522|64187.28862|72214.45367|1956712.004|1956712.004|1196177.454|1788104.969|2263305.655|2279048.19|2186209.155|1800542.222|19349.38376|15076.35447|14562.79849|80684.28027|14766.08758|40342.14014|11993.79002|12077.21343|11746.96139|12765.83247|10960.30253|12330.98135|130166.6196|119777.7158|145433.4898
1|1|2-Hydroxyglutarate|3780118.42|3702324.708|6536106.226|6313462.454|3995653.366|3601084.444|3268053.113|3478418.288|4919226.319|6627346.869|6673443.712|6536106.226|3134926.091|4464292.114|4372418.311|4051430.608|6357376.058|13722119.5|13163136.88|3478418.288|2186209.155|4784709.817|14304839.75|16893910.77|8928584.227|1282031.252|1813065.984|4023445.333|1171560.478|951602.8058|1005861.333
2|2|2-Methylglutaric acid|7508014.47|6226543.15|5572912.225|6861059.752|6269852.183|5931641.602|6056278.0|6627346.869|1535205.123|1600398.776|1788104.969|1903205.612|1442360.137|1383604.327|1813065.984|1751306.3|8215972.944|9053222.619|9503318.823|8928584.227|15653696.03|16205722.43|1984026.686|2294900.224|2097152.0|2767208.654|2617938.907|2511294.86|456419.2137|502930.6666|469250.9044
3|3|3-Hydroxymethylglutarate|2294900.224|2186209.155|2294900.224|2082665.913|2111738.846|2068279.889|1970322.013|1997826.683|2493948.08|2408995.053|2326935.837|2186209.155|2392354.908|2392354.908|1775753.625|1916443.454|489178.0011|524288.0|475801.4029|602248.7631|614903.2899|654484.7268|573725.056|550353.8606|389158.9469|539027.7419|619180.2805|632190.5744|546552.2888|428816.2345|485799.0018
4|4|3-Phosphoglycerate|443938.4063|343511.7685|440871.8998|502930.6666|341138.9594|417090.232|389158.9469|400099.6941|419991.324|520666.4782|687023.5369|623487.0199|327242.3634|348307.0141|456419.2137|373306.2145|1800542.222|1282031.252|1589344.014|63743.91463|18305.63247|24322.43418|1412676.795|1432397.028|912838.4275|130166.6196|156955.9288|49323.92542|23010.42484|24322.43418|20594.90713
5|5|4-Hydroxycinnamic acid|24322.43418|20452.64771|27364.16094|27554.49374|27364.16094|23987.58004|46020.84969|36865.91643|1825676.855|1645392.11|1567463.046|1493224.858|2025715.304|1668360.928|1775753.625|1493224.858|12854.62586|16270.82745|13400.50733|47975.16008|29737.58768|19755.95545|12161.21709|12677.65243|9410.13692|10884.59419|12161.21709|15181.21881|144428.9073|123145.1258|114898.4651
6|6|4-Hydroxyproline|6861059.752|3968053.372|4953442.244|6719861.184|6226543.15|5496188.295|6056278.0|6673443.712|2039805.268|2476721.122|1929773.372|2375829.706|1622739.511|1147450.112|1943196.007|2053993.236|8446955.383|7560236.841|7353501.767|8684431.622|9838452.638|8624443.871|3134926.091|3268053.113|2965820.801|2845005.479|2247671.861|2710260.323|107949.7218|58251.19395|42938.97106
7|7|5'-Methylthioadenosine|1739209.144|1877003.618|1462494.735|1751306.3|1246974.04|1402918.724|1019902.634|1204497.526|1838375.442|1890059.21|1452392.546|1775753.625|1318074.056|1108363.749|1229806.58|1055869.423|2845005.479|2442623.37|3383300.757|1318074.056|778317.8938|845825.1893|3049201.373|3383300.757|2392354.908|857632.469|696614.0281|623487.0199|102837.0069|92681.90002|68794.23258
8|8|7-Methylguanine|13627333.9|11145824.45|10617935.89|11781337.52|10766156.75|9975792.319|8805661.77|9307743.35|5128125.007|4817990.105|4342215.811|4433454.996|4165331.826|4621725.035|4589800.448|4107986.472|8388608.0|8159221.073|8684431.622|13346887.42|8805661.77|10916446.7|2825353.59|2986449.716|2748094.148|2884720.275|3156731.227|2581896.969|33322654.61|31744426.98|32411444.87
9|9|Acetyl-CoA|197295.7017|316095.2872|179049.6285|163621.1817|248003.3357|789182.8067|358099.2571|286862.528|414209.1793|469250.9044|168221.1992|368166.7975|381150.1716|305327.9213|187951.3823|202842.4388|1355130.162|509951.3171|1462494.735|256749.1545|215899.4436|254975.6585|721180.0687|1668360.928|378517.375|711251.3696|405684.8777|248003.3357|9216.47911|9674.69188|8779.96821
10|10|Acetylcholine|20090358.88|16093781.33|15120473.68|17733819.98|18875349.21|16093781.33|14707003.53|13254693.74|18744967.65|15120473.68|16431945.89|16205722.43|23077762.2|16893910.77|13254693.74|13627333.9|15225644.89|12367066.55|11699957.88|5235877.815|12367066.55|10617935.89|13439722.37|11781337.52|11145824.45|6908782.196|10327587.87|6269852.183|61572.56289|72214.45367|65083.30978
